point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Vessel_testSub,Vessel2
1,14,4391,0,0,0.12252,0.39125,78.268,107.11,54.02,0.58142,0,1.7181,0.73263,0.57117,0.038943,0.35778,0.40264,0.21157,1.2528,0.59485,0.12731,0.39125,0.33045,1.5559,0.48964,0.29424,0.11888,0.97996,0.019813,0.023457,0.27351,0.16807,0.10157,0.66841,0.16693,0.082441,0.12799,0.4343,0.16147,0.12617,0.26805,0.12366,0.20428,0.35914,0.90093,0.17126
1,15,5102,0,0,0.040376,0.24069,103.86,83.132,0.12721,0.095845,0,0.49,0.19502,0.017248,0,0.13701,0,0.030772,1.0917,0,0,0.10898,0,1.2677,0.057428,0.13485,0.36868,0.28616,0.32458,0.005096,0,0.032536,0,0.29145,0,0.046844,0.41474,0.069189,0.035672,0.0343,0,0,0.18013,0.63171,0.98824,0.74441
1,16,5218,0,0,0.082215,0.30241,130.41,91.209,0.98045,0.289,0.005366,1.0634,0.2499,0.00038329,0.031046,0.17995,0.0074741,0.05366,1.3911,0,0.0028747,0.14239,0.00019164,1.1273,0.049061,0.045995,0.36604,0.25623,0.25374,0.03143,0.0061326,0.040245,0.0047911,0.25125,0,0.068034,0.56343,0.072825,0.047144,0.029322,0.039095,0.0090073,0.45995,0.90782,1.0445,0.8486
1,17,8304,0,0,0.063704,0.31997,115.17,103.03,3.03,0.0171,0,0.92425,0.2512,0.058887,0,0.18064,0.024446,0.046724,1.263,0.33683,0.02553,0.16149,0,0.52288,0.007948,0.17413,0.10176,0.375,0.45412,0.01987,0.023603,0.042991,0.0051782,0.29251,0.015173,0.05684,0.17847,0.0096339,0.0036127,0.0099952,0.26276,0.020713,0.25855,0.9192,0.93196,0.65246
1,18,8119,0,0,0.06959,0.16862,73.92,66.109,0.61177,0.17244,0.001478,1.1145,0.22478,0.016012,0,0.1882,0.0083754,0.050622,1.2139,0.048159,0.0028329,0.10592,0.00098534,0.96071,0.049513,0.010346,0.16098,0.43306,0.16344,0,0.0033255,0.03498,0.00012317,0.33539,0,0.047912,0.16307,0.045203,0.026481,0.01207,0.0039414,0.001478,0.69331,0.69639,0.4471,0.32652
1,19,10387,0,0,0.051603,0.29739,134.06,95.824,1.6839,0,0.0016367,1.5642,0.33253,0.05892,0,0.23221,0.028882,0.086936,1.6086,0.058438,0.014537,0.16328,0.0003851,1.7946,0.11717,0.14865,0.40811,0.56224,0.40685,0.02792,0.025224,0.056224,0.020988,0.49061,0.0083759,0.076731,0.61558,0.13257,0.091268,0.034755,0.14277,0.014441,0.21325,0.75084,1.3755,1.0504
1,20,43270,0,0,0.066628,0.26966,104.16,94.845,1.4643,0.25207,0.00025422,1.0805,0.25574,0.0090594,0,0.19351,0.016362,0.056367,1.5083,0.063185,0.015276,0.17839,0.00011555,0.61216,0.020106,0.10252,0.10954,0.38313,0.25829,0.06018,0.019205,0.041253,0.0027964,0.31169,0.0032355,0.054195,0.17966,0.02348,0.010169,0.030668,0.23365,0.010978,0.58193,1.0104,0.78724,0.49813
1,21,22478,0,0,0.094359,0.32205,154.7,106.52,3.2895,0.77983,0.0033811,0.87543,0.25665,0.0082748,0.0070291,0.15998,0.015215,0.046312,1.738,0.2308,0.020731,0.16923,0,0.41409,0.011166,0.062372,0.10357,0.22827,0.37579,0.017128,0.01913,0.03608,0.0036925,0.24468,0.0093425,0.060237,0.13889,0.0088531,0.0030697,0.033588,0.24339,0.017484,0.31778,0.98318,0.72075,0.53181
1,22,8330,0,0,0.054262,0.30948,141.91,99.134,1.8253,0,0.0015606,1.37,0.27995,0.015006,0,0.22317,0,0.071429,1.4729,0.59676,0.027611,0.20336,0.00012005,0.96567,0.039856,0.082113,0.15474,0.56855,0.34118,0.0027611,0.021969,0.046218,0.0061224,0.4401,0.033974,0.066507,0.20432,0.038896,0.032053,0.020408,0.17683,0.018727,0.22629,0.84166,0.61236,0.54826
1,23,3834,0,0,0.04434,0.16093,72.616,71.333,0.4867,0.011215,0,0.88445,0.18805,0,0,0.14528,0,0.038341,0.58451,0,0,0.073552,0,0.26474,0,0.067032,0.078508,0.31742,0.16667,0.076421,0,0.027126,0,0.28508,0,0.030256,0.35498,0.026865,0.00078247,0.033125,0,0,0.25743,0.60094,0.73865,0.59807
1,24,3562,0,0,0.075519,0.24649,98.492,79.485,0.87254,0.48372,0,0.73021,0.18838,0,0,0.13363,0.0058956,0.044919,1.3436,0.024424,0.014879,0.098821,0,0.24481,0,0.0089837,0.033408,0.38125,0.23695,0.010387,0.037619,0.032285,0,0.2785,0,0.038462,0.012633,0,0,0.063728,0.0379,0.00084222,0.5393,1.0458,0.37002,0.25997
