point_id,obj_id,obj_type_id,run_type_id,nuMeta,obj_size,C,Na,P,S,K,Ca,Fe,Histone.H3,Total.Tau,MAP2,Cathepsin.D,Podoplanin,CD56,SV2A,HSP60,CollagenIV,Ki.67,Amyloid.A,VAMP2,MAG,VGLUT1,VGLUT2,Synaptophysin,PSD95,Gephyrin,X8OHG,Ta,Au,Iba1,CD45,HLA.DR,GFAP,GlnSyn,CD31,Endoglin_CD105,Fibrinogen,SMA,GLUT1,vWF,Albumin,CD36,CD44,FlowSOM_ids,Meta
4,155,cell,MFG_4x4,4,13531,0,0,0.00066514,0.00088685,1.0415,0.56079,0.13148,0.35223,1.163,0.1852,0.022615,0,0.10036,0.02498,0.0013303,0,0,0.0091641,0.15453,0.0041386,0.016259,0,0.13717,0.030005,0,0.36331,0.16052,0.25157,0.102046874,0,0,0.337183166,0.332174643,0,0.192696544,0,0.573372789,0,0,0.085268543,0,0,3,1
4,156,cell,MFG_4x4,3,18218,0,0,0.00043913,0.0014821,1.2521,0.66132,0.15435,0.19898,0.75376,0.19195,0.096333,0.0027994,0.074212,0.011527,0.00087825,0.0032934,0,0.0082336,0.093259,0.0053244,0.018882,0,0.097212,0.025634,0,0.38599,0.0099352,0.08047,0.620784273,0.486915705,0.306697253,0.060912863,0.237446431,0.458473244,0.196536636,0,0,0,0,0.024832303,0,0,61,17
4,158,cell,MFG_4x4,3,6956,0,0,0.0010063,0.0020127,1.111,0.61026,0.20486,1.0622,1.2598,0.18243,0.022858,0,0.11587,0.045428,0,0,0,0.0099195,0.24066,0.011788,0.022714,0,0.1751,0.032346,0,0.26567,0.011357,0.098045,0.37090403,0.210858112,0,0.22003387,0.472118892,0.419940111,0.158429163,0,0.726521684,0,0,0.163802816,0,0,42,9
4,160,cell,MFG_4x4,4,14212,0,0,0.0013369,0.0088657,9.6712,3.1043,0.15424,0.37518,1.4595,0.18266,0.01548,0.00035182,0.15163,0.051365,0,0,0,0.010062,0.35266,0,0.028567,0,0.28047,0.044329,0,0.2234,0.019772,0.12271,0.121878919,0,0,0.33170797,0.350934234,0.260870865,0.216997503,0,0,0,0,0.412042667,0,0.260505244,23,1
4,161,cell,MFG_4x4,1,5971,0,0,0.0010049,0.00083738,0.73388,0.4073,0.13482,0.48886,0.41082,0.1179,0,0,0.06833,0.010216,0,0.036175,0,0.16362,0.059622,0.0040194,0.011556,0,0.077709,0.028471,0.015575,0.028638,0.01591,0.090437,0,0,0,0.33183887,0.497974655,0.387314159,0.560444352,0.949197178,0,0.965707513,0.624689911,0.478836037,0.438299364,0.453089799,80,27
4,162,cell,MFG_4x4,2,5806,0,0,0.00017224,0.0013779,1.0541,0.59507,0.17895,0.73372,1.4061,0.20031,0.019979,0.0017224,0.13107,0.047709,0.0018946,0,0,0.0086118,0.25456,0.0075784,0.021874,0,0.20272,0.033586,0,0.35446,0.014296,0.088012,0.096989442,0,0,0,0.468113817,0.330845485,0,0,0.800271659,0,0.201815569,0.235047034,0,0,44,10
4,163,cell,MFG_4x4,3,7981,0,0,0.0011277,0.0041348,3.7805,1.7484,0.15474,0.90603,1.9439,0.25448,0.08207,0.0075179,0.17792,0.071294,0.011277,0.0030071,0,0.014159,0.37928,0.021551,0.034958,0.00062649,0.24583,0.042476,0.0021301,0.62511,0.015787,0.10137,0.550461874,0.539802916,0.590920298,0.451975692,0.514350721,0.644246386,0.351215621,0,1.071541594,0,0.355288477,0.241251377,0,0,85,23
4,164,cell,MFG_4x4,3,11431,0,0,0.00034993,0.0013122,1.2597,0.72321,0.13936,0.088969,1.0245,0.19403,0.040591,0.00026244,0.11591,0.032718,0,0.00017496,0,0.0074359,0.24748,0.018021,0.020646,0.0016621,0.20821,0.036917,0,0.42883,0.014347,0.10515,0.428095912,0.361050715,0.235297973,0.142293988,0.369161604,0.374257445,0.247296918,0,0.641539434,0,0,0.133311557,0,0,62,17
4,165,cell,MFG_4x4,3,17194,0,0,0.0005816,0.0013377,1.2143,0.68344,0.16035,0.29685,0.76282,0.20094,0.060951,0.00075608,0.082064,0.011399,0.00017448,0.0029662,0,0.0085495,0.080319,0.0012214,0.017273,0,0.07712,0.029022,0,0.53716,0.010934,0.08154,0.50568335,0.438626276,0,0,0.242674686,0.322777886,0,0,0.286383284,0,0.140536455,0.14149496,0,0,41,9
4,166,cell,MFG_4x4,2,9662,0,0,0.000207,0.0019665,2.0738,1.1152,0.20958,0.61675,1.774,0.20006,0.019975,0.0081764,0.15639,0.049058,0.0045539,0.0070379,0.001449,0.0148,0.31329,0.0066239,0.027427,0.001242,0.23266,0.037984,0.015525,0.32747,0.21403,0.27261,0.242024404,0.426567059,0.325386373,0.292940878,0.489104289,0.521037896,0.44242389,0,0.844212224,0,0.245622453,0.447461559,0.549533035,0.267591897,86,24
