point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Microglia2
1,18,1195,0,0,0.051883,0.15983,87.751,92.305,0.56736,0.097908,0,1.2092,0.36402,0.14728,0,0.30377,0.064435,0.10962,2.6251,1.1774,0.081172,0.05272,0,0.44184,0.012552,0.0050209,0.060251,0.52385,0.047699,0.014226,0.11967,0.064435,0.017573,0.40418,0.022594,0.051883,0.046862,0,0.0041841,0.029289,1.1858,0.088703,0.076987,0.37238,1.2887
1,19,957,0,0,0.060606,0.19331,86.75,85.173,0.50366,0.35214,0,1.1055,0.42738,1.9425,0,0.24974,0.035528,0.11076,5.8527,0.49948,0.11181,0.16301,0,0.43992,0.027168,0.17137,0.085684,0.628,0.11285,0.065831,0.056426,0.13898,0.081505,0.63427,0,0.064786,0.039707,0.012539,0.0020899,0.29781,1.8757,0.15047,0.099269,0.39394,0.64995
1,20,4801,0,0,0.041241,0.19621,89.991,90.548,0.76213,0.09019,0,1.1845,0.26932,0,0,0.2612,0,0.089981,0.84441,0.92585,0.012081,0.033535,0,0.21558,0,0.014789,0.017288,0.78879,0.075401,0,0.035618,0.053739,0,0.60008,0.016247,0.052697,0.0047907,0,0,0.056863,0.16809,0.01833,0.13685,0.52968,0.96042
1,21,1006,0,0,0.058648,0.36183,105.35,99.753,1.168,0.0019881,0,1.003,0.45229,0.59742,0,0.27435,0.070577,0.078529,3.7286,0.96223,0.14215,0.13917,0,0.23459,0,0.028827,0.030815,0.57356,0.0089463,0.026839,0.077535,0.075547,0.05666,0.37674,0.020875,0.067594,0,0,0.00099404,0.13718,2.1581,0.089463,0.21769,0.78429,1.0726
1,22,980,0,0,0.042857,0.17551,87.782,99.246,0.84796,0,0,2.1735,0.34388,0.12755,0,0.48469,0.05102,0.11531,8.1551,0.40102,0.12245,0.17551,0.026531,2.2969,0.13673,0.081633,0.43878,2.0163,0.49388,0.14694,0.022449,0.14082,0.076531,0.62959,0.058163,0.11735,0.41939,0.095918,0.10306,0.82041,0.073469,0.1898,0.094898,0.33776,0.64898
1,23,13009,0,0,0.063879,0.33654,105,106.69,1.7011,0.076255,0,0.84073,0.44969,0.45023,0.0042278,0.22008,0.055884,0.061188,1.0445,1.1713,0.061035,0.080406,0,0.14021,0,0.013913,0.026136,0.34053,0,0.0079176,0.066723,0.060035,0.017911,0.2373,0.021524,0.059113,0,0,0.00015374,0.039588,1.7098,0.082635,0.21908,0.82428,1.2754
1,24,1792,0,0,0.05692,0.33371,100.41,103.94,1.3292,0,0,1.6094,0.33929,0.047433,0,0.30859,0,0.10658,0.90346,0.86049,0.0011161,0,0,0.24665,0,0,0.021205,1.0915,0.020089,0,0.011161,0.077567,0,0.77121,0.02567,0.071987,0,0,0.0011161,0.013393,0.13951,0.049665,0.18583,0.7221,0.93583
1,25,1151,0,0,0.044309,0.18679,89.501,99.858,10.018,0,0,1.5951,0.37272,0.016507,0,0.33536,0.0034752,0.10599,0.73675,0.67507,0.022589,0.00086881,0,0.26151,0,0,0.015639,1.0174,0,0,0.072111,0.088619,0.013032,0.82363,0.035621,0.061685,0,0,0,0.17202,0.33449,0.10165,0.048653,0.36316,0.81234
1,26,845,0,0,0.042604,0.18698,89.03,99.207,3.9148,0,0,2.368,0.38225,0.20355,0,0.4213,0,0.13254,0.67574,0.94911,0.048521,0.059172,0,0.30888,0,0,0.031953,1.3444,0.04142,0,0.024852,0.073373,0,1.1089,0.076923,0.072189,0,0,0,0.19645,0.46391,0.14675,0.059172,0.38343,1.1728
1,27,1855,0,0,0.043666,0.15741,89.926,106.48,2.6981,0,0,1.3515,0.36226,0.12453,0,0.29164,0,0.097574,0.37898,0.82857,0,0,0,0.34232,0.012399,0.019946,0.016712,0.66199,0,0,0.01186,0.071698,0.0010782,0.56873,0,0.0469,0,0,0,0.05283,1.614,0.10836,0.059838,0.41456,0.93693
1,28,2366,0,0,0.084954,0.21978,132.31,81.381,4.2967,0,0,0.78191,0.22612,0.086221,0,0.16526,0.009721,0.016484,2.724,0.97929,0.02874,0.084108,0,0.55621,0.021555,0.071851,0.11708,0.21471,0.22274,0,0.0038039,0.034658,0.0084531,0.26078,0.0054945,0.059172,0.048183,0.010989,0.0080304,0.001268,0.08918,0.033812,0.26712,0.67709,1.0186
1,29,862,0,0,0.055684,0.33411,105.18,97.759,0.41415,0,0,1.3074,0.41763,0.49304,0,0.2761,0.026682,0.10673,0.61137,1.0418,0.040603,0.14269,0,0.18213,0,0.030162,0.015081,0.76682,0,0,0.053364,0.063805,0.020882,0.60905,0,0.068445,0,0,0,0,0.4942,0.029002,0.28074,0.7645,1.0708
1,30,1126,0,0,0.044405,0.53108,164.74,127.32,1.0604,0,0,1.0524,0.26909,0,0,0.25666,0,0.084369,1.1323,0.82238,0,0,0,0.21137,0,0,0.021314,0.754,0,0,0.0062167,0.053286,0,0.61368,0.024867,0.064831,0,0,0,0.0053286,0.080817,0.039964,0.79751,1.7904,0.88721
1,31,2476,0,0,0.050485,0.17003,89.771,101.31,0.9794,0,0,1.3978,0.47052,0.32553,0,0.27262,0.048061,0.10622,0.52383,0.96042,0.042811,0.062601,0,0.16357,0,0,0.020194,0.64903,0,0,0.053716,0.076737,0.0044426,0.52868,0.023829,0.0521,0,0,0,0,2.3162,0.11551,0.076333,0.45679,1.0998
1,32,663,0,0,0.031674,0.19759,89.308,99.505,1.3937,0,0,1.8974,0.50528,0.26998,0,0.3273,0.087481,0.13273,0.53846,0.90045,0.031674,0.14027,0,0.19759,0,0,0.025641,0.76923,0,0,0.076923,0.06184,0.012066,0.67421,0.025641,0.072398,0,0,0,0,3.0045,0.15535,0.064857,0.45098,1.0814
1,33,535,0,0,0.059813,0.12897,81.619,93.469,0.34019,0,0,2.5252,0.35514,0.072897,0,0.45047,0,0.14953,1.2953,0.68037,0,0,0,0.3028,0,0,0.02243,1.3869,0.035514,0,0.076636,0.11028,0,1.0654,0.041121,0.074766,0,0,0,0.024299,0.13271,0.031776,0.018692,0.20561,0.75327
