point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Astrocytes2
1,17,705,0,0,0.038298,0.16738,90.006,102.06,1.4468,0,0,1.4298,0.39007,0.21986,0,0.28794,0,0.11064,1.7234,0.11915,0.076596,0.0056738,0,0.26099,0,0,0.035461,0.98298,0,0,0.0042553,0.068085,0,0.6695,0,0.076596,0,0,0,0.35035,1.2979,0.068085,0.06383,0.32908,2.0738
1,18,40152,0,0,0.044182,0.16226,85.326,95.378,1.8073,0.0076459,0.0004732,1.5279,0.34992,0.093569,0.00054792,0.31729,0.011656,0.11083,2.9143,0.22303,0.049562,0.069038,0.00082188,0.42192,0.011257,0.0075214,0.064754,0.92852,0.089634,0.01589,0.030908,0.070383,0.020024,0.73446,0.011681,0.06448,0.069038,0.011631,0.0077954,0.13028,0.34409,0.043111,0.048889,0.3021,3.0446
1,19,1980,0,0,0.055556,0.25303,82.337,75.059,0.20909,0,0,0.7,0.21515,0,0,0.17323,0,0.031313,2.3793,0,0,0.080808,0,0.32929,0,0.014141,0.034848,0.39444,0.16061,0.0030303,0.0030303,0.034848,0,0.36263,0,0.044949,0.020202,0,0,0.0025253,0.037374,0,0.13232,0.48737,2.3818
1,20,10699,0,0,0.059632,0.3219,104.4,102.43,0.67922,0.0036452,0,1.0221,0.35994,0.21563,0,0.25853,0.010281,0.085522,3.2562,0.23264,0.055519,0.047201,0,0.20254,0.0015889,0.0097205,0.023927,0.67361,0.020656,0.012898,0.040191,0.067296,0.026825,0.51958,0.0043929,0.065801,0.0016824,0.0025236,0.0021497,0.12618,1.2352,0.047294,0.21198,0.77848,3.3824
1,21,682,0,0,0.035191,0.29765,105.46,101.83,0.47507,0,0,1.3812,0.3607,0.043988,0,0.31525,0,0.11584,2.0865,0.052786,0,0.039589,0,0.19795,0,0,0.026393,1.1144,0,0,0.082111,0.067449,0,0.76393,0,0.07478,0,0,0,0.13343,0.061584,0,0.23754,0.73167,2.2199
1,22,690,0,0,0.04058,0.17681,90.077,105.91,0.9,0,0,1.3696,0.31884,0.0028986,0,0.32174,0,0.082609,1.9232,0,0.071014,0.0014493,0,0.24638,0,0,0.014493,0.86812,0,0,0.0057971,0.056522,0,0.7029,0,0.068116,0,0,0,0.12319,0.47826,0,0.069565,0.40435,2.0464
1,23,1518,0,0,0.061924,0.26746,85.22,82.24,0.4025,0.14032,0,0.91238,0.24308,0.018445,0,0.20158,0,0.052042,1.9269,0,0,0.10474,0,0.28656,0,0.012516,0.02635,0.44664,0.19433,0.0085639,0.036232,0.04809,0,0.36627,0,0.059947,0.01054,0,0,0.085639,0.37945,0,0.11067,0.43149,2.0125
1,24,1412,0,0,0.0517,0.20397,92.852,89.539,0.47167,0,0,1.4986,0.28966,0.033994,0,0.28683,0,0.11756,2.187,0.25283,0.021955,0.057365,0,0.20822,0,0.00070822,0.016997,0.80241,0.00070822,0,0.026204,0.050283,0.00070822,0.5949,0,0.06728,0,0,0,0.13385,0.51912,0.026204,0.14731,0.52975,2.3208
1,25,841,0,0,0.10583,0.21403,119.09,76.609,0.046373,0,0,1.1688,0.23187,0,0,0.22711,0,0.074911,2.0452,0,0,0.036861,0,0.57907,0.03805,0.016647,0.2283,0.74197,0.049941,0.029727,0,0.022592,0,0.53864,0,0.046373,0.13912,0.0035672,0.0023781,0.19501,0,0,0.13199,0.49108,2.2402
1,26,1929,0,0,0.045619,0.38362,138.14,105.84,0.74754,0,0,1.0482,0.32297,0,0,0.23691,0,0.090202,2.0347,0.31882,0,0.046138,0,0.38414,0.0062208,0,0.029549,0.71954,0,0,0.013997,0.066874,0.0010368,0.64489,0.007776,0.07154,0.029031,0.0020736,0.0041472,0.039399,0.083463,0.0088129,0.22032,0.7719,2.0741
