pointID,vesselID,vesselSize,step,stepSize,Fe,Histone H3,SMA,Total Tau,MAP2,CD56,CD31,GlnSyn,Iba1,CollagenIV,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,CellType1,CellType2,CellType3,CellType4,Astrocytes2Ratio,Microglia2Ratio
1,9,5398,-38,27,0.7037,0,0,0,0,0,0,0,0,0,0.74074,0,0.74074,0.22222,0,0.18519,0,0,0.14815,0,0,0,0.074074,0,0,0,0,0,0.33333,1.963,0,0,0,0,0,0
1,10,6382,-38,7,0,0,0,0,0,0,0,0.57143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,8304,-38,94,6.6702,0,0,0.68085,0,0,0,0.79787,0,0.14894,0.55319,0,0.53191,0.085106,0.19149,1.5745,0,0,0.042553,0,0,0,0.021277,0,0,0,0.085106,0,0.61702,2.234,0,0,0,0,0,0
1,19,10387,-38,149,4.047,0,0,0.81208,0.1745,0.073826,0.12081,1.4698,0,0.43624,5.443,0.54362,0.55705,1.9866,0.20134,1.6107,0.14765,0.013423,0.040268,0.040268,0.2953,0,3.3691,0.51007,0.18792,0.040268,0,0.040268,0.34228,1.4631,0,0,0,0,0.080537,0
1,20,43270,-38,567,3.716,0.83951,0,1.1781,0,0.11464,0.03351,1.6578,0,0.30688,0.73192,0.042328,0.28395,0.14815,0.46737,0.76014,0.23104,0.021164,0.081129,0,0.26455,0,0.063492,0,0,0.0070547,0.2716,0,1.9295,2.7125,0.33686,0,0,0,0.20635,0
1,21,22478,-38,291,5.1718,2.89,0.079038,0.43299,0,0.027491,0,2.1478,0.013746,0.27835,0.80756,0.013746,0.14433,0.19931,0.034364,0.87285,0.034364,0,0.04811,0,0.0068729,0,0.15808,0,0,0.013746,0.19588,0.0068729,0.89003,2.268,0.93471,0,0.013746,0,0.1134,0.010309
1,1,35740,-37,109,1.0183,1.633,0,0.53211,0,0,0,0.36697,0,0,2.7064,0.14679,0,0.81651,0.23853,0.31193,0,0.018349,0.11009,0,0.22018,0,1.0183,0.19266,0.3578,0,0.055046,0,1.844,2.4954,0.84404,0,0,0,0,0
1,2,34460,-37,244,0.72951,0,0,0.28279,0,0.057377,0,0.69672,0.10656,0.12295,0.76639,0,0.12295,0.15984,0.43443,1.2746,0.036885,0,0.07377,0,0.020492,0,0.95082,0.061475,0,0.02459,0,0,0.27049,1.5123,0.0081967,0,0,0,0.045082,0.032787
1,3,5984,-37,46,1.2174,0,0,0,0,0,0,0.21739,0,0.19565,3.6304,0.43478,0.30435,0.65217,0,0.82609,0.13043,0,0.086957,0,0,0,3.2174,0.65217,0.26087,0,0,0,0.41304,1.1304,0,0,0,0,0,0
1,4,11020,-37,64,0,0,0,0.03125,0,0,0,2.4531,0,0.1875,0.35938,0,0,0,0.25,0.78125,0,0,0.03125,0,0,0,0,0,0,0,0.51563,0,0.09375,0.46875,0,0,0,0,0.45313,0
1,6,30110,-37,22,0.90909,1.7273,0,1.4091,0,0.72727,0,2.5455,0,0.36364,0.36364,0,0.45455,0,2,1.4545,0,0,0,0.090909,1.5909,0,0,0,0,0,0.54545,0.090909,0,0.27273,0,1,0,0,1,0
1,8,6935,-37,70,4.3,4.8857,0,0,0,0,0.028571,1.0571,0,0.31429,1.3857,0,0.54286,0.31429,0,1.5429,0,0,0.085714,0,0,0,0.24286,0,0,0,0.057143,0,0.34286,1.2857,1,0,0,0,0.12857,0
1,9,5398,-37,34,2.6765,0,0,0,0,0,0,0,0,0,1.0294,0,0.47059,0.38235,0,0.52941,0,0,0.17647,0,0,0,0.32353,0,0,0,0,0,0.41176,1.8824,0,0,0,0,0,0
1,10,6382,-37,31,0,0,0,0.3871,0,0,0,0.064516,0,0,0,0,0,0,0,0,0,0,0.064516,0,0,0,0,0,0,0,0,0,0.064516,0.41935,0,0,0,0,0,0
1,17,8304,-37,103,5.3495,0,0,0.50485,0,0.087379,0,0.98058,0,0.1165,0.60194,0,0.54369,0.13592,0.21359,1.6117,0.048544,0,0,0,0,0,0,0,0,0,0.15534,0,0.8835,1.8447,0,0,0,0,0,0
1,19,10387,-37,158,4.4241,0,0,0.99367,0.17722,0.15823,0.10759,1.3481,0,0.31646,5.7278,0.37342,0.60759,1.3544,0.34177,1.4937,0.088608,0.025316,0.063291,0.056962,0.31646,0,3.0886,0.5443,0.36076,0.044304,0,0.10127,0.51266,1.6266,0,0,0,0,0.10127,0
1,20,43270,-37,632,3.6582,0.84494,0,1.0285,0.0031646,0.13924,0.037975,1.5696,0,0.26266,0.74684,0.026899,0.33703,0.094937,0.32595,0.73734,0.24051,0.022152,0.072785,0,0.23101,0,0.099684,0,0,0.018987,0.30063,0,1.7342,2.6867,0.33544,0,0,0,0.18038,0
1,21,22478,-37,385,5.7039,2.4338,0.01039,0.33506,0,0.01039,0.0051948,1.8104,0.2026,0.36364,1.626,0.13766,0.18701,0.45974,0.083117,0.92987,0.077922,0.0051948,0.057143,0,0.025974,0,0.35844,0.057143,0.0051948,0.015584,0.6026,0.041558,0.66234,2.1429,0.84675,0,0.080519,0,0.12727,0.075325
1,22,8330,-37,48,4.125,0,0,0.10417,0,0.083333,0,2.375,0.83333,0.58333,3.25,0.25,0.375,1.1667,0.22917,0.95833,0,0,0,0,0.3125,0,0.5625,0.41667,0.125,0,0,0,0.89583,2.4167,0,0,0,0,0.41667,0.625
1,1,35740,-36,137,0.78102,1.6423,0,0.53285,0,0,0,0.41606,0,0,2.3066,0.058394,0.029197,0.92701,0.30657,0.46715,0,0.10949,0.014599,0,0.17518,0,0.62044,0.21898,0.23358,0.029197,0.043796,0,1.9708,1.9854,0.75182,0,0,0,0,0
1,2,34460,-36,271,0.28413,0,0,0.23247,0,0.084871,0,0.86716,0.088561,0.13284,0.75646,0.03321,0.073801,0.14022,0.38007,1.1365,0.02214,0,0.051661,0,0.02583,0,0.87454,0.10701,0,0.01107,0,0,0.26568,1.0849,0.02952,0,0,0,0.055351,0.04059
1,3,5984,-36,55,0,0,0,0,0,0,0,0.14545,0,0.2,4.4727,0.76364,0.25455,0.90909,0,1.2545,0.036364,0,0,0,0,0,3.6909,0.69091,0.21818,0,0,0,0.21818,1.5455,0,0,0,0,0,0
1,4,11020,-36,82,0,0,0,0.18293,0,0,0,2.3049,0,0.097561,0.69512,0,0,0.036585,0.2439,0.37805,0,0,0.060976,0,0.097561,0,0.036585,0,0,0,0.32927,0,0.036585,0.53659,0,0,0,0,0.41463,0
1,6,30110,-36,93,0.7957,1.8817,0,1.6452,0.086022,0.51613,0,3.4946,0,0.36559,0.39785,0,0.11828,0,1.5699,1.1398,0,0.075269,0.10753,0.064516,0.86022,0,0,0,0,0,0.41935,0.043011,0.064516,0.5914,0,1,0,0,0.92473,0
1,8,6935,-36,76,5.3289,4.5395,0,0,0,0,0.026316,1.2368,0,0.26316,1.0395,0,0.52632,0.36842,0,1.5,0,0,0.078947,0,0,0,0.32895,0,0,0,0.27632,0,0.52632,1.3421,1,0,0,0,0.14474,0
1,9,5398,-36,42,0,0,0,0,0,0,0,0,0,0,0.66667,0,0.95238,0.7619,0,0.66667,0,0,0,0,0,0,0.2381,0.071429,0,0,0,0,0.54762,2.6905,0,0,0,0,0,0
1,10,6382,-36,46,0,0,0,0.26087,0,0,0,0.26087,0,0,0.13043,0,0,0.13043,0,0,0,0,0.043478,0,0,0,0,0,0,0,0,0,0.17391,0.47826,0,0,0,0,0,0
1,15,5102,-36,10,0,0,0,0,0,0,0,0,0,0,12.9,1.7,0.6,3.6,0,1.5,0,0,0,0,0,0,15.8,1.9,0.9,0.5,0,0,0.6,1.6,0,0,0,0,0,0
1,17,8304,-36,109,5.8716,0,0,0.48624,0,0,0,0.91743,0,0.091743,0.58716,0,0.44037,0.16514,0.14679,1.4679,0.036697,0,0.036697,0,0,0,0.11009,0,0,0,0.23853,0,0.78899,2.3303,0,0,0,0,0,0
1,19,10387,-36,166,3.7952,0,0,1.0482,0.096386,0.16265,0.1988,1.5482,0,0.21084,5.253,0.48795,0.50602,1.4578,0.46988,1.6566,0.14458,0.024096,0.072289,0.024096,0.3253,0,2.9819,0.55422,0.3012,0.036145,0.042169,0.072289,0.39759,1.5361,0,0,0,0,0.12048,0
1,20,43270,-36,678,3.7242,0.78319,0.013274,1.1136,0.026549,0.12389,0.032448,1.5678,0,0.28909,0.9764,0.048673,0.26696,0.16224,0.4233,0.78171,0.30678,0.022124,0.079646,0,0.28319,0,0.15044,0.0029499,0.0029499,0.035398,0.28466,0,1.8466,2.8024,0.36431,0,0,0,0.16962,0
1,21,22478,-36,435,6.4828,2.469,0.011494,0.33793,0,0.0091954,0.027586,1.9563,0.53793,0.37241,1.6621,0.11494,0.26667,0.48966,0.11494,1.0345,0.10115,0.0045977,0.041379,0,0.055172,0,0.53103,0.087356,0.013793,0.018391,0.58851,0.11034,0.63908,2.131,0.7977,0,0.12874,0,0.14943,0.12414
1,22,8330,-36,65,2.4462,0,0,0.13846,0,0.030769,0,2.4769,1.3231,0.52308,4.0615,0.16923,0.4,0.98462,0.38462,1.4769,0,0,0.030769,0,0.38462,0,0.76923,0.35385,0.12308,0,0,0,0.61538,2.5692,0,0,0,0,0.46154,0.63077
1,1,35740,-35,160,0.68125,1.6,0,0.4625,0,0.04375,0,0.94375,0,0,2.5313,0.1125,0,0.95,0.325,0.45625,0,0.075,0.05625,0,0.1375,0,0.85625,0.21875,0.23125,0,0.0125,0,2.025,1.8125,0.725,0,0,0,0,0
1,2,34460,-35,315,0.81587,0.04127,0,0.13968,0,0.066667,0,1.219,0.14921,0.18095,0.62857,0,0.10794,0.092063,0.3619,1.2032,0.047619,0,0.038095,0,0.069841,0,0.58095,0.038095,0.015873,0,0,0,0.28571,1.0127,0.050794,0,0,0,0.08254,0.050794
1,3,5984,-35,64,0.60938,0,0,0,0,0,0,0.4375,0,0.03125,6.2656,0.5,0.40625,1.125,0.0625,0.90625,0.125,0,0.03125,0,0,0,4.5,0.76563,0.1875,0,0,0,0.26563,1.2969,0,0,0,0,0,0
1,4,11020,-35,101,0.17822,0,0,0.11881,0,0.019802,0,2.1683,0,0.11881,0.69307,0,0.039604,0.059406,0.15842,0.69307,0,0,0,0,0.17822,0,0.13861,0,0,0,0.20792,0,0.11881,0.57426,0,0,0,0,0.33663,0
1,6,30110,-35,134,1.0821,1.3955,0,1.1642,0.037313,0.38806,0.014925,3.0746,0,0.26866,0.4403,0,0.1791,0,1.097,1.2164,0,0.059701,0.14179,0.044776,0.75373,0,0,0,0,0.014925,0.47015,0.067164,0.067164,0.59701,0.13433,0.86567,0,0,0.92537,0
