point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Astrocytes2
1,20,532,0,0,0.0056391,0.0056391,1.3421,0.32519,0.0093985,0,0,0.022556,0,0,0,0.21617,0.0018797,0.0018797,0.065789,0,0,0.0075188,0,0.056391,0,0,0,0,0.013158,0,0.0037594,0,0.0018797,0,0.0075188,0,0,0,0.0037594,0.031955,0,0,0.028195,0.030075,0.097744
1,21,673,0,0,0.0089153,0.0029718,1.2481,0.3997,0,0.065379,0,0.056464,0.011887,0,0,0.15899,0,0.0044577,0.096582,0,0,0,0,0,0,0,0,0.023774,0,0,0.0059435,0,0.0044577,0.016345,0.013373,0,0,0,0,0.0044577,0.059435,0,0.0089153,0.022288,0.10104
1,22,726,0,0,0.012397,0.0055096,3.1433,0.74518,0,0,0,0.03719,0,0,0,0.41185,0,0.013774,0.095041,0,0,0,0,0,0,0,0,0.055096,0,0,0.0013774,0.0013774,0.0013774,0.030303,0.0096419,0,0,0,0.0027548,0.03168,0.012397,0,0.0041322,0.013774,0.12672
1,23,150,0,0,0,0.0066667,2.3733,0.86667,0.026667,0,0,0.073333,0.033333,0,0,0.58,0,0.04,0.08,0.12,0,0,0,0,0,0,0,0.10667,0,0,0.053333,0.013333,0.0066667,0.06,0.033333,0,0,0,0.0066667,0,0,0.0066667,0.0066667,0.02,0.08
1,24,139,0,0,0.0071942,0.0071942,2.3381,0.48201,0,0,0,0.028777,0,0,0,0.25899,0,0,0.093525,0.23741,0,0,0,0,0,0,0,0.035971,0,0,0,0.0071942,0,0.028777,0.021583,0,0,0,0,0.0071942,0,0,0.0071942,0,0.10072
1,25,332,0,0,0.003012,0.003012,9.6777,7.9789,2.8343,0,0,0.096386,0,0,0,0.1988,0,0.0090361,0.12048,0.072289,0,0.21386,0,0,0,0,0,0.027108,0,0,0.033133,0,0.003012,0.051205,0.027108,0.01506,0,0,0.003012,0.01506,0,0,27.175,12.307,0.13554
1,26,1137,0,0,0.0079156,0.005277,1.3096,0.39578,0,0.066843,0,0.059807,0,0,0,0.17326,0,0.013193,0.13369,0.028144,0,0,0,0,0,0,0,0.023747,0,0,0.005277,0,0.003518,0.0079156,0.012313,0,0,0,0.0026385,0.005277,0,0,0.0096746,0.026385,0.13896
1,27,1162,0,0,0.0094664,0.00086059,1.7306,0.48021,0.0034423,0,0,0.028399,0.0051635,0,0,0.29604,0,0.017212,0.098967,0.01463,0,0,0,0,0,0.00086059,0,0.02926,0,0,0.0034423,0.0086059,0.0051635,0.031842,0.017212,0,0,0,0.0034423,0.028399,0,0.00086059,0.016351,0.038726,0.12737
1,28,1456,0,0,0.0054945,0.0027473,0.46566,0.18544,0,0.034341,0,0.034341,0,0,0,0.091346,0,0.0054945,0.098901,0,0,0,0,0,0,0,0,0.0068681,0,0,0,0,0.0020604,0.0034341,0.0068681,0,0,0,0,0.0048077,0.01717,0,0.034341,0.04739,0.10371
1,29,239,0,0,0.0083682,0.0083682,2.2301,0.41841,0.15481,0,0,0.041841,0,0,0,0.42678,0,0.016736,0.087866,0.1841,0,0,0,0,0,0,0,0.033473,0,0,0.025105,0.012552,0.0041841,0.025105,0.016736,0,0,0,0,0.012552,0,0.10879,0.016736,0.033473,0.10042
