point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Vessel2
1,18,459,0,0,0.0021786,0.0087146,1.8758,0.35512,0,0,0,0.0065359,0,0,0,0.23312,0.067538,0.013072,0.039216,0,0,0.067538,0,0.10022,0,0.019608,0,0.045752,0.27451,0,0.013072,0.0065359,0.0065359,0.028322,0.0087146,0,0,0,0.019608,0.010893,0,0,0.026144,0.017429,0.27451
1,19,803,0,0,0.007472,0.0049813,1.944,0.39975,0,0,0,0.057285,0.01868,0,0,0.47821,0.024907,0.022416,0.011208,0,0,0.0087173,0,0.1731,0,0,0,0.05604,0.20423,0,0.031133,0.016189,0.0012453,0.036115,0.0099626,0,0.051059,0,0.014944,0.011208,0,0,0.019925,0.023661,0.25529
1,20,1648,0,0,0.0054612,0.003034,0.92233,0.27973,0.018811,0.0006068,0,0.024879,0,0,0,0.12318,0.034587,0.0036408,0.0012136,0,0,0.011529,0,0.22391,0,0.055825,0,0.01335,0.1966,0.006068,0.0097087,0,0.0018204,0.0097087,0.0072816,0,0.04551,0,0.012136,0.0042476,0.0084951,0,0.13592,0.074636,0.24818
1,21,1761,0,0,0.00795,0.0068143,2.1386,0.42078,0.08234,0.0062465,0,0.047132,0.0073822,0,0,0.42078,0.015332,0.13174,0.038614,0.051675,0,0.14083,0,0,0,0.00795,0.030097,0.16014,0.25099,0.16752,0.030664,0.011925,0.0062465,0.048268,0.032368,0.036343,0.013629,0,0.030664,0.0159,0.017036,0.012493,0.1096,0.050539,0.43214
1,22,490,0,0,0.0061224,0.0040816,0.70408,0.22449,0.022449,0,0,0.095918,0,0,0,0.29388,0.059184,0.016327,0,0.10612,0,0.026531,0,0.10816,0.053061,0.032653,0,0.034694,0.26735,0,0.012245,0,0.0040816,0.012245,0.018367,0,0,0,0.018367,0.0081633,0,0.018367,0.99796,0.23265,0.26735
1,23,4657,0,0,0.0062272,0.0049388,4.274,3.7936,1.478,0.023835,0.030062,0.013099,0.0034357,0,0,0.041228,0.049173,0.0090187,0.052824,0.1108,0,0.21237,0,0.23663,0.027915,0.056045,0.0049388,0.013957,0.2755,0.034786,0.0036504,0.0042946,0.0019326,0.013957,0.016105,0.014816,0.03951,0.015031,0.021473,0.020614,0.016749,0.0051535,16.315,15.117,0.3498
1,24,2402,0,0,0.0037469,0.0029142,0.82931,0.24729,0.032057,0,0,0.044963,0,0,0,0.099917,0.035803,0.0054122,0,0.10699,0,0.027477,0,0.15487,0,0.056203,0,0.0070774,0.19151,0.0062448,0.0095754,0.001249,0.0041632,0.010824,0.018734,0,0.034555,0,0.015404,0.009159,0.0024979,0.0083264,0.29309,0.069525,0.23231
1,25,1207,0,0,0.006628,0.001657,1.0928,0.50621,0.12345,0.012428,0,0.032312,0,0,0,0.16984,0.047225,0.006628,0.006628,0.003314,0,0.057995,0,0.067937,0,0.065452,0,0.020713,0.21872,0.008285,0.001657,0.001657,0.003314,0.0074565,0.006628,0,0.020713,0,0.0057995,0.014085,0.020713,0,2.5733,0.93621,0.24772
1,26,540,0,0,0.0055556,0.0037037,1.8648,1.1574,0.26852,0.13704,0,0.016667,0,0,0,0.16481,0.072222,0.0037037,0,0.0074074,0,0.044444,0,0,0,0.035185,0,0.051852,0.26111,0,0,0.044444,0,0.014815,0.018519,0,0,0,0.014815,0.02963,0,0.0055556,4.4796,1.5463,0.26111
1,27,1143,0,0,0.0043745,0.0069991,1.3701,0.30009,0.04112,0,0,0.017498,0,0,0,0.16098,0.10149,0.013123,0.0034996,0.1601,0,0.0026247,0,0,0,0.035871,0,0.03762,0.21785,0,0.0087489,0,0.0026247,0.015748,0.015748,0,0,0,0.0017498,0.019248,0,0.036745,0.007874,0.020997,0.21785
