point_id,obj_id,obj_size,C,Na,P,S,K,Ca,Fe,Histone H3,SMA,Total Tau,MAP2,Cathepsin D,Podoplanin,CD56,CD31,SV2A,GlnSyn,Iba1,HSP60,CollagenIV,Ki-67,Albumin,CD36,Endoglin_CD105,Amyloid A,VAMP2,GLUT1,vWF,MAG,VGLUT1,VGLUT2,Synaptophysin,CD45,PSD95,Fibrinogen,Gephyrin,CD44,GFAP,8OHG,HLA-DR,Ta,Au,Microglia2
1,974,295,0,0,0.0067797,0.016949,2.5966,0.56949,0.34237,0,0,0.39661,0,0,0,1.6068,0.071186,0.46441,0.1661,0.19661,0,0.38305,0,0,0.030508,0.020339,0.18305,0.55593,0.81017,0.54237,0.1322,0.044068,0.013559,0.11864,0.10169,0.098305,0.094915,0,0.061017,0.057627,0.023729,0.047458,0.34576,0.17966,0.24407
1,975,11,0,0,0,0,0.54545,0.18182,0,0,0,0,0,0,0,0.45455,0,0.090909,0,0.36364,0,0,0,0,0,0,0,0.090909,0,0,0,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0.36364
1,976,104,0,0,0.0096154,0,1.0962,0.47115,0.125,0,0,0.17308,0.33654,0,0,0.96154,0,0.038462,0.17308,0.22115,0,0,0,0,0,0,0,0.057692,0.019231,0,0.019231,0.019231,0.019231,0.11538,0.076923,0,0.019231,0,0.038462,0,0.18269,0,1.9038,0.52885,0.22115
1,977,1113,0,0,0.010782,0.0017969,2.5067,0.62713,0.34052,0.017969,0,0.071878,0.015274,0,0,0.57862,0.030548,0.25606,0.086253,0.2363,0,0.39623,0,0,0.025157,0.010782,0.12399,0.292,0.56873,0.41959,0.074573,0.028751,0.015274,0.067385,0.09973,0.070979,0,0,0.059299,0.033243,0.027853,0.049416,0.32794,0.10063,0.28571
1,978,347,0,0,0.0028818,0,1.1902,0.32565,0,0,0,0.3804,0,0,0,1.2939,0,0.054755,0.057637,0.27954,0,0.0057637,0,0,0,0,0.0028818,0.19885,0.0317,0.014409,0.10951,0.037464,0,0.080692,0.051873,0.014409,0.040346,0,0.0057637,0.0086455,0,0.017291,0.12104,0.21326,0.29683
1,979,128,0,0,0.0078125,0,0.70313,0.3125,0.44531,0,0,0.023438,0,0,0,0.42969,0,0.015625,0,0.19531,0,0,0,0,0,0,0,0.023438,0,0,0,0,0,0.046875,0.03125,0,0,0,0,0,0.015625,0,0.03125,0.09375,0.19531
1,980,133,0,0,0.015038,0,0.95489,0.33835,0.31579,0,0,0.10526,0,0,0,0.67669,0,0.052632,0,0.24812,0,0,0,0,0,0,0,0.075188,0,0,0,0.052632,0,0.090226,0.037594,0,0,0,0.0075188,0,0,0,0.0075188,0.022556,0.24812
1,981,112,0,0,0,0,0.50893,0.20536,0,0,0,0.026786,0.026786,0,0,0.66071,0,0.017857,0,0.21429,0,0,0,0,0,0,0,0.13393,0,0,0,0.017857,0.017857,0.0625,0.053571,0,0,0,0,0,0,0,0,0.0089286,0.21429
1,982,243,0,0,0.0041152,0.0041152,1.465,0.57202,0.80247,0,0,0.012346,0,0,0,0.028807,0.016461,0.0041152,0.016461,0.22634,0,0,0,0.045267,0,0.045267,0,0,0.098765,0,0.032922,0,0.0041152,0,0.032922,0,0.032922,0,0.037037,0.020576,0.012346,0,0.024691,0.053498,0.22634
1,983,158,0,0,0,0,0.51266,0.24051,0.06962,0,0,0,0,0,0,0.082278,0.0063291,0.025316,0.0063291,0.16456,0,0,0,0,0,0.056962,0,0.025316,0.082278,0,0,0,0,0,0.0063291,0,0,0,0.0063291,0,0,0,0.031646,0.050633,0.16456
1,984,65,0,0,0,0.030769,1.4615,0.33846,0.29231,0,0,0.046154,0,0,0,0.4,0,0.030769,0,0.21538,0,0,0,0,0,0,0,0.061538,0,0,0.015385,0.030769,0,0,0.015385,0,0,0,0,0,0,0,0,0.061538,0.21538
1,985,30,0,0,0.1,0.033333,0.8,0.26667,0.3,0.36667,0,0.1,0,0,0,0,0,0,0.033333,0,0,0,0,0,0,0,1.1333,0,0,0,0.066667,0,0,0,0,0,0,0,0.033333,0,0,0.33333,0.033333,0,0.33333
1,986,189,0,0,0,0.010582,6.2646,4.9259,5.1799,0,0,0.25397,0.015873,0,0,1.2222,0,0.074074,0.18519,0.25397,0,0.63492,0,0.12698,0.031746,0,0,0.21164,0.021164,0,0.015873,0.037037,0.021164,0.063492,0.058201,0.068783,0.10053,0,0.021164,0.005291,0,0,66.571,32.36,0.25397
1,987,121,0,0,0.016529,0.0082645,1.3471,0.28926,0,0,0,0.34711,0.024793,0,0,1.4711,0,0.1157,0.033058,0.24793,0,0,0,0,0,0,0,0.21488,0.057851,0,0.016529,0.041322,0,0.10744,0.07438,0.024793,0.066116,0,0.016529,0.0082645,0,0,0.041322,0.049587,0.24793
1,988,57,0,0,0,0,1.7018,0.33333,0,0,0,0.50877,0,0,0,2.0526,0,0.10526,0.052632,0.19298,0,0,0,0,0,0,0,0.26316,0.070175,0,0.035088,0.070175,0,0.14035,0.10526,0.052632,0.17544,0,0.017544,0.017544,0,0,1.5439,0.40351,0.19298
